"part_number","material","material_name","relative_permeability","al_nh_per_turn2","od_in","id_in","ht_in","od_mm","id_mm","ht_mm","ae_cm2","le_cm","ve_cm3","fmax_mhz","stock_qty","analyzer_url"
"MS-027040-2","MS","MS - Sendust","40","17","0.26","0.105","0.1","6.604","2.667","2.54","0.0467","1.36","0.064","1.7",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-027040-2"
"MS-027060-8","MS","MS - Sendust","60","26","0.26","0.105","0.1","6.604","2.667","2.54","0.0467","1.36","0.064","1.4",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-027060-8"
"MS-027060-2","MS","MS - Sendust","60","26","0.26","0.105","0.1","6.604","2.667","2.54","0.0467","1.36","0.064","1.4",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-027060-2"
"MS-027075-2","MS","MS - Sendust","75","32","0.26","0.105","0.1","6.604","2.667","2.54","0.0467","1.36","0.064","1.1",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-027075-2"
"MS-027075-8","MS","MS - Sendust","75","32","0.26","0.105","0.1","6.604","2.667","2.54","0.0467","1.36","0.064","1.1",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-027075-8"
"MS-027090-8","MS","MS - Sendust","90","39","0.26","0.105","0.1","6.604","2.667","2.54","0.0467","1.36","0.064","0.88",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-027090-8"
"MS-027090-2","MS","MS - Sendust","90","39","0.26","0.105","0.1","6.604","2.667","2.54","0.0467","1.36","0.064","0.88",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-027090-2"
"MS-027125-8","MS","MS - Sendust","125","54","0.26","0.105","0.1","6.604","2.667","2.54","0.0467","1.36","0.064","0.54","2262","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-027125-8"
"MS-027125-2","MS","MS - Sendust","125","54","0.26","0.105","0.1","6.604","2.667","2.54","0.0467","1.36","0.064","0.54",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-027125-2"
"MS-027147-2","MS","MS - Sendust","147","64","0.26","0.105","0.1","6.604","2.667","2.54","0.0467","1.36","0.064","0.45",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-027147-2"
"MS-027147-8","MS","MS - Sendust","147","64","0.26","0.105","0.1","6.604","2.667","2.54","0.0467","1.36","0.064","0.45",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-027147-8"
"MS-027160-8","MS","MS - Sendust","160","69","0.26","0.105","0.1","6.604","2.667","2.54","0.0467","1.36","0.064","0.41","591","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-027160-8"
"MS-027160-2","MS","MS - Sendust","160","69","0.26","0.105","0.1","6.604","2.667","2.54","0.0467","1.36","0.064","0.41",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-027160-2"
"MS-026014-8","MS","MS - Sendust","14","12","0.26","0.105","0.188","6.604","2.667","4.7752","0.092","1.36","0.125","6.6","0","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-026014-8"
"MS-026014-2","MS","MS - Sendust","14","12","0.26","0.105","0.188","6.604","2.667","4.7752","0.092","1.36","0.125","6.6",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-026014-2"
"MS-026026-8","MS","MS - Sendust","26","21","0.26","0.105","0.188","6.604","2.667","4.7752","0.092","1.36","0.125","3.1",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-026026-8"
"MS-026026-2","MS","MS - Sendust","26","21","0.26","0.105","0.188","6.604","2.667","4.7752","0.092","1.36","0.125","3.1",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-026026-2"
"MS-026040-2","MS","MS - Sendust","40","33","0.26","0.105","0.188","6.604","2.667","4.7752","0.092","1.36","0.125","1.7",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-026040-2"
"MS-026040-8","MS","MS - Sendust","40","33","0.26","0.105","0.188","6.604","2.667","4.7752","0.092","1.36","0.125","1.7",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-026040-8"
"MS-026060-8","MS","MS - Sendust","60","50","0.26","0.105","0.188","6.604","2.667","4.7752","0.092","1.36","0.125","1.4","0","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-026060-8"
"MS-026060-2","MS","MS - Sendust","60","50","0.26","0.105","0.188","6.604","2.667","4.7752","0.092","1.36","0.125","1.4",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-026060-2"
"MS-026075-8","MS","MS - Sendust","75","62","0.26","0.105","0.188","6.604","2.667","4.7752","0.092","1.36","0.125","1.1",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-026075-8"
"MS-026075-2","MS","MS - Sendust","75","62","0.26","0.105","0.188","6.604","2.667","4.7752","0.092","1.36","0.125","1.1",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-026075-2"
