"part_number","material","material_name","relative_permeability","al_nh_per_turn2","od_in","id_in","ht_in","od_mm","id_mm","ht_mm","ae_cm2","le_cm","ve_cm3","fmax_mhz","stock_qty","analyzer_url"
"MS-092147-2","MS","MS - Sendust","147","124","0.928","0.567","0.35","23.5712","14.4018","8.89","0.388","5.88","2.28","0.45",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-092147-2"
"MS-092160-2","MS","MS - Sendust","160","135","0.928","0.567","0.35","23.5712","14.4018","8.89","0.388","5.88","2.28","0.41","408","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-092160-2"
"MS-107014-2","MS","MS - Sendust","14","13.8","1.06","0.58","0.34","26.924","14.732","8.636","0.497","6.35","3.16","6.6",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-107014-2"
"MS-107026-2","MS","MS - Sendust","26","25.5","1.06","0.58","0.34","26.924","14.732","8.636","0.497","6.35","3.16","3.1",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-107026-2"
"MS-107040-2","MS","MS - Sendust","40","39","1.06","0.58","0.34","26.924","14.732","8.636","0.497","6.35","3.16","1.7",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-107040-2"
"MS-107060-2","MS","MS - Sendust","60","59","1.06","0.58","0.34","26.924","14.732","8.636","0.497","6.35","3.16","1.4","95","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-107060-2"
"MS-107075-2","MS","MS - Sendust","75","73.699997","1.06","0.58","0.34","26.924","14.732","8.636","0.497","6.35","3.16","1.1",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-107075-2"
"MS-107090-2","MS","MS - Sendust","90","88.400002","1.06","0.58","0.34","26.924","14.732","8.636","0.497","6.35","3.16","0.88",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-107090-2"
"MS-107125-2","MS","MS - Sendust","125","123","1.06","0.58","0.34","26.924","14.732","8.636","0.497","6.35","3.16","0.54","174","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-107125-2"
"MS-107147-2","MS","MS - Sendust","147","145","1.06","0.58","0.34","26.924","14.732","8.636","0.497","6.35","3.16","0.45",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-107147-2"
"MS-107160-2","MS","MS - Sendust","160","157","1.06","0.58","0.34","26.924","14.732","8.636","0.497","6.35","3.16","0.41",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-107160-2"
"MS-106014-2","MS","MS - Sendust","14","18","1.06","0.58","0.44","26.924","14.732","11.176","0.654","6.35","4.15","6.6","0","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-106014-2"
"MS-106026-2","MS","MS - Sendust","26","32","1.06","0.58","0.44","26.924","14.732","11.176","0.654","6.35","4.15","3.1","213","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-106026-2"
"MS-106040-2","MS","MS - Sendust","40","50","1.06","0.58","0.44","26.924","14.732","11.176","0.654","6.35","4.15","1.7",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-106040-2"
"MS-106060-2","MS","MS - Sendust","60","75","1.06","0.58","0.44","26.924","14.732","11.176","0.654","6.35","4.15","1.4","6292","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-106060-2"
"MS-106075-2","MS","MS - Sendust","75","94","1.06","0.58","0.44","26.924","14.732","11.176","0.654","6.35","4.15","1.1","94","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-106075-2"
"MS-106090-2","MS","MS - Sendust","90","113","1.06","0.58","0.44","26.924","14.732","11.176","0.654","6.35","4.15","0.88","3659","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-106090-2"
"MS-106125-2","MS","MS - Sendust","125","157","1.06","0.58","0.44","26.924","14.732","11.176","0.654","6.35","4.15","0.54","1616","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-106125-2"
"MS-106147-2","MS","MS - Sendust","147","185","1.06","0.58","0.44","26.924","14.732","11.176","0.654","6.35","4.15","0.45","50","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-106147-2"
"MS-106160-2","MS","MS - Sendust","160","201","1.06","0.58","0.44","26.924","14.732","11.176","0.654","6.35","4.15","0.41","653","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-106160-2"
"MS-108014-2","MS","MS - Sendust","14","22","1.06","0.58","0.551","26.924","14.732","13.9954","0.819","6.35","5.2","6.6","0","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-108014-2"
"MS-108026-2","MS","MS - Sendust","26","40.700001","1.06","0.58","0.551","26.924","14.732","13.9954","0.819","6.35","5.2","3.1",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-108026-2"
"MS-108040-2","MS","MS - Sendust","40","62.700001","1.06","0.58","0.551","26.924","14.732","13.9954","0.819","6.35","5.2","1.7",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-108040-2"
"MS-108060-2","MS","MS - Sendust","60","94","1.06","0.58","0.551","26.924","14.732","13.9954","0.819","6.35","5.2","1.4","756","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-108060-2"
"MS-108075-2","MS","MS - Sendust","75","117.5","1.06","0.58","0.551","26.924","14.732","13.9954","0.819","6.35","5.2","1.1",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-108075-2"
"MS-108090-2","MS","MS - Sendust","90","141","1.06","0.58","0.551","26.924","14.732","13.9954","0.819","6.35","5.2","0.88","90","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-108090-2"
"MS-108125-2","MS","MS - Sendust","125","195.800003","1.06","0.58","0.551","26.924","14.732","13.9954","0.819","6.35","5.2","0.54","756","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-108125-2"
"MS-108147-2","MS","MS - Sendust","147","230.300003","1.06","0.58","0.551","26.924","14.732","13.9954","0.819","6.35","5.2","0.45",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-108147-2"
"MS-108160-2","MS","MS - Sendust","160","250.600006","1.06","0.58","0.551","26.924","14.732","13.9954","0.819","6.35","5.2","0.41","1640","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-108160-2"
"MS-109014-2","MS","MS - Sendust","14","28","1.06","0.58","0.709","26.924","14.732","18.0086","1.01","6.35","6.43","6.6","0","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-109014-2"
"MS-109026-2","MS","MS - Sendust","26","52","1.06","0.58","0.709","26.924","14.732","18.0086","1.01","6.35","6.43","3.1","258","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-109026-2"
"MS-109040-2","MS","MS - Sendust","40","80","1.06","0.58","0.709","26.924","14.732","18.0086","1.01","6.35","6.43","1.7",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-109040-2"
"MS-109060-2","MS","MS - Sendust","60","120","1.06","0.58","0.709","26.924","14.732","18.0086","1.01","6.35","6.43","1.4","756","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-109060-2"
"MS-109075-2","MS","MS - Sendust","75","150","1.06","0.58","0.709","26.924","14.732","18.0086","1.01","6.35","6.43","1.1","242","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-109075-2"
"MS-109090-2","MS","MS - Sendust","90","180","1.06","0.58","0.709","26.924","14.732","18.0086","1.01","6.35","6.43","0.88",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-109090-2"
"MS-109125-2","MS","MS - Sendust","125","250","1.06","0.58","0.709","26.924","14.732","18.0086","1.01","6.35","6.43","0.54","552","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-109125-2"
"MS-109147-2","MS","MS - Sendust","147","294","1.06","0.58","0.709","26.924","14.732","18.0086","1.01","6.35","6.43","0.45",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-109147-2"
"MS-109160-2","MS","MS - Sendust","160","320","1.06","0.58","0.709","26.924","14.732","18.0086","1.01","6.35","6.43","0.41",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-109160-2"
"MS-131014-2","MS","MS - Sendust","14","11.9","1.3","0.785","0.345","33.02","19.939","8.763","0.551","8.15","4.49","6.6",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-131014-2"
"MS-131026-2","MS","MS - Sendust","26","22.1","1.3","0.785","0.345","33.02","19.939","8.763","0.551","8.15","4.49","3.1",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-131026-2"
"MS-131040-2","MS","MS - Sendust","40","34","1.3","0.785","0.345","33.02","19.939","8.763","0.551","8.15","4.49","1.7",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-131040-2"
"MS-131060-2","MS","MS - Sendust","60","51","1.3","0.785","0.345","33.02","19.939","8.763","0.551","8.15","4.49","1.4",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-131060-2"
"MS-131075-2","MS","MS - Sendust","75","63.799999","1.3","0.785","0.345","33.02","19.939","8.763","0.551","8.15","4.49","1.1",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-131075-2"
"MS-131090-2","MS","MS - Sendust","90","76.5","1.3","0.785","0.345","33.02","19.939","8.763","0.551","8.15","4.49","0.88",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-131090-2"
"MS-131125-2","MS","MS - Sendust","125","109","1.3","0.785","0.345","33.02","19.939","8.763","0.551","8.15","4.49","0.54",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-131125-2"
"MS-131147-2","MS","MS - Sendust","147","129","1.3","0.785","0.345","33.02","19.939","8.763","0.551","8.15","4.49","0.45",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-131147-2"
"MS-131160-2","MS","MS - Sendust","160","136","1.3","0.785","0.345","33.02","19.939","8.763","0.551","8.15","4.49","0.41",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-131160-2"
"MS-130014-2","MS","MS - Sendust","14","14","1.3","0.785","0.42","33.02","19.939","10.668","0.672","8.15","5.48","6.6","412","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-130014-2"
"MS-130026-2","MS","MS - Sendust","26","28","1.3","0.785","0.42","33.02","19.939","10.668","0.672","8.15","5.48","3.1","1773","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-130026-2"
"MS-130040-2","MS","MS - Sendust","40","41","1.3","0.785","0.42","33.02","19.939","10.668","0.672","8.15","5.48","1.7","0","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-130040-2"
"MS-130060-2","MS","MS - Sendust","60","61","1.3","0.785","0.42","33.02","19.939","10.668","0.672","8.15","5.48","1.4","2133","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-130060-2"
"MS-130075-2","MS","MS - Sendust","75","76","1.3","0.785","0.42","33.02","19.939","10.668","0.672","8.15","5.48","1.1","116","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-130075-2"
"MS-130090-2","MS","MS - Sendust","90","91","1.3","0.785","0.42","33.02","19.939","10.668","0.672","8.15","5.48","0.88","0","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-130090-2"
"MS-130125-2","MS","MS - Sendust","125","127","1.3","0.785","0.42","33.02","19.939","10.668","0.672","8.15","5.48","0.54","0","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-130125-2"
"MS-130147-2","MS","MS - Sendust","147","150","1.3","0.785","0.42","33.02","19.939","10.668","0.672","8.15","5.48","0.45",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-130147-2"
"MS-130160-2","MS","MS - Sendust","160","163","1.3","0.785","0.42","33.02","19.939","10.668","0.672","8.15","5.48","0.41",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-130160-2"
"MS-132014-2","MS","MS - Sendust","14","15","1.3","0.785","0.44","33.02","19.939","11.176","0.6981","8.15","5.69","6.6","159","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-132014-2"
"MS-132026-2","MS","MS - Sendust","26","28","1.3","0.785","0.44","33.02","19.939","11.176","0.6981","8.15","5.69","3.1",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-132026-2"
"MS-132040-2","MS","MS - Sendust","40","43","1.3","0.785","0.44","33.02","19.939","11.176","0.6981","8.15","5.69","1.7",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-132040-2"
"MS-132060-2","MS","MS - Sendust","60","65","1.3","0.785","0.44","33.02","19.939","11.176","0.6981","8.15","5.69","1.4","0","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-132060-2"
"MS-132075-2","MS","MS - Sendust","75","80.800003","1.3","0.785","0.44","33.02","19.939","11.176","0.6981","8.15","5.69","1.1","151","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-132075-2"
"MS-132090-2","MS","MS - Sendust","90","96.900002","1.3","0.785","0.44","33.02","19.939","11.176","0.6981","8.15","5.69","0.88","166","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-132090-2"
"MS-132125-2","MS","MS - Sendust","125","135","1.3","0.785","0.44","33.02","19.939","11.176","0.6981","8.15","5.69","0.54","653","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-132125-2"
"MS-132147-2","MS","MS - Sendust","147","158","1.3","0.785","0.44","33.02","19.939","11.176","0.6981","8.15","5.69","0.45",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-132147-2"
"MS-132160-2","MS","MS - Sendust","160","172","1.3","0.785","0.44","33.02","19.939","11.176","0.6981","8.15","5.69","0.41",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-132160-2"
"MS-133014-2","MS","MS - Sendust","14","18.700001","1.3","0.785","0.551","33.02","19.939","13.9954","0.874","8.15","7.12","6.6","0","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-133014-2"
"MS-133026-2","MS","MS - Sendust","26","34.700001","1.3","0.785","0.551","33.02","19.939","13.9954","0.874","8.15","7.12","3.1","0","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-133026-2"
"MS-133040-2","MS","MS - Sendust","40","53.299999","1.3","0.785","0.551","33.02","19.939","13.9954","0.874","8.15","7.12","1.7",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-133040-2"
"MS-133060-2","MS","MS - Sendust","60","80","1.3","0.785","0.551","33.02","19.939","13.9954","0.874","8.15","7.12","1.4","1057","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-133060-2"
"MS-133075-2","MS","MS - Sendust","75","100","1.3","0.785","0.551","33.02","19.939","13.9954","0.874","8.15","7.12","1.1","259","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-133075-2"
"MS-133090-2","MS","MS - Sendust","90","120","1.3","0.785","0.551","33.02","19.939","13.9954","0.874","8.15","7.12","0.88","0","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-133090-2"
"MS-133125-2","MS","MS - Sendust","125","166.699997","1.3","0.785","0.551","33.02","19.939","13.9954","0.874","8.15","7.12","0.54","679","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-133125-2"
"MS-133147-2","MS","MS - Sendust","147","196","1.3","0.785","0.551","33.02","19.939","13.9954","0.874","8.15","7.12","0.45",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-133147-2"
"MS-133160-2","MS","MS - Sendust","160","213","1.3","0.785","0.551","33.02","19.939","13.9954","0.874","8.15","7.12","0.41",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-133160-2"
"MS-134014-2","MS","MS - Sendust","14","23.799999","1.3","0.785","0.709","33.02","19.939","18.0086","1.1","8.15","8.98","6.6",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-134014-2"
"MS-134026-2","MS","MS - Sendust","26","44","1.3","0.785","0.709","33.02","19.939","18.0086","1.1","8.15","8.98","3.1","68","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-134026-2"
"MS-134040-2","MS","MS - Sendust","40","68","1.3","0.785","0.709","33.02","19.939","18.0086","1.1","8.15","8.98","1.7",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-134040-2"
"MS-134060-2","MS","MS - Sendust","60","102","1.3","0.785","0.709","33.02","19.939","18.0086","1.1","8.15","8.98","1.4","318","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-134060-2"
"MS-134075-2","MS","MS - Sendust","75","127.5","1.3","0.785","0.709","33.02","19.939","18.0086","1.1","8.15","8.98","1.1","458","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-134075-2"
"MS-134090-2","MS","MS - Sendust","90","153","1.3","0.785","0.709","33.02","19.939","18.0086","1.1","8.15","8.98","0.88",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-134090-2"
"MS-134125-2","MS","MS - Sendust","125","214","1.3","0.785","0.709","33.02","19.939","18.0086","1.1","8.15","8.98","0.54","0","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-134125-2"
"MS-134147-2","MS","MS - Sendust","147","250","1.3","0.785","0.709","33.02","19.939","18.0086","1.1","8.15","8.98","0.45",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-134147-2"
"MS-134160-2","MS","MS - Sendust","160","272","1.3","0.785","0.709","33.02","19.939","18.0086","1.1","8.15","8.98","0.41",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-134160-2"
"MS-135014-2","MS","MS - Sendust","14","9","1.35","0.92","0.35","34.29","23.368","8.89","0.454","8.95","4.06","6.6",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-135014-2"
"MS-135026-2","MS","MS - Sendust","26","16","1.35","0.92","0.35","34.29","23.368","8.89","0.454","8.95","4.06","3.1",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-135026-2"
"MS-135040-2","MS","MS - Sendust","40","25","1.35","0.92","0.35","34.29","23.368","8.89","0.454","8.95","4.06","1.7",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-135040-2"
"MS-135060-2","MS","MS - Sendust","60","38","1.35","0.92","0.35","34.29","23.368","8.89","0.454","8.95","4.06","1.4",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-135060-2"
"MS-135075-2","MS","MS - Sendust","75","47","1.35","0.92","0.35","34.29","23.368","8.89","0.454","8.95","4.06","1.1","89","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-135075-2"
"MS-135090-2","MS","MS - Sendust","90","56","1.35","0.92","0.35","34.29","23.368","8.89","0.454","8.95","4.06","0.88","766","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-135090-2"
"MS-135125-2","MS","MS - Sendust","125","79","1.35","0.92","0.35","34.29","23.368","8.89","0.454","8.95","4.06","0.54",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-135125-2"
"MS-135147-2","MS","MS - Sendust","147","93","1.35","0.92","0.35","34.29","23.368","8.89","0.454","8.95","4.06","0.45",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-135147-2"
"MS-135160-2","MS","MS - Sendust","160","101","1.35","0.92","0.35","34.29","23.368","8.89","0.454","8.95","4.06","0.41",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-135160-2"
"MS-141014-2","MS","MS - Sendust","14","13","1.41","0.88","0.412","35.814","22.352","10.4648","0.678","8.98","6.09","6.6","92","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-141014-2"
"MS-141026-2","MS","MS - Sendust","26","24","1.41","0.88","0.412","35.814","22.352","10.4648","0.678","8.98","6.09","3.1","446","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-141026-2"
"MS-141040-2","MS","MS - Sendust","40","37","1.41","0.88","0.412","35.814","22.352","10.4648","0.678","8.98","6.09","1.7",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-141040-2"
"MS-141060-2","MS","MS - Sendust","60","56","1.41","0.88","0.412","35.814","22.352","10.4648","0.678","8.98","6.09","1.4","1374","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-141060-2"
"MS-141075-2","MS","MS - Sendust","75","70","1.41","0.88","0.412","35.814","22.352","10.4648","0.678","8.98","6.09","1.1","252","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-141075-2"
"MS-141090-2","MS","MS - Sendust","90","84.300003","1.41","0.88","0.412","35.814","22.352","10.4648","0.678","8.98","6.09","0.88","39","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-141090-2"
"MS-141125-2","MS","MS - Sendust","125","117","1.41","0.88","0.412","35.814","22.352","10.4648","0.678","8.98","6.09","0.54","2388","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-141125-2"
"MS-141147-2","MS","MS - Sendust","147","138","1.41","0.88","0.412","35.814","22.352","10.4648","0.678","8.98","6.09","0.45",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-141147-2"
"MS-141160-2","MS","MS - Sendust","160","150","1.41","0.88","0.412","35.814","22.352","10.4648","0.678","8.98","6.09","0.41",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-141160-2"
"MS-157014-2","MS","MS - Sendust","14","19","1.57","0.95","0.57","39.878","24.13","14.478","1.07","9.85","10.5","6.6","314","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-157014-2"
"MS-157026-2","MS","MS - Sendust","26","35","1.57","0.95","0.57","39.878","24.13","14.478","1.07","9.85","10.5","3.1","1150","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-157026-2"
"MS-157040-2","MS","MS - Sendust","40","54","1.57","0.95","0.57","39.878","24.13","14.478","1.07","9.85","10.5","1.7",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-157040-2"
"MS-157060-2","MS","MS - Sendust","60","81","1.57","0.95","0.57","39.878","24.13","14.478","1.07","9.85","10.5","1.4","127","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-157060-2"
"MS-157075-2","MS","MS - Sendust","75","101","1.57","0.95","0.57","39.878","24.13","14.478","1.07","9.85","10.5","1.1","0","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-157075-2"
"MS-157090-2","MS","MS - Sendust","90","121","1.57","0.95","0.57","39.878","24.13","14.478","1.07","9.85","10.5","0.88","1160","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-157090-2"
"MS-157125-2","MS","MS - Sendust","125","168","1.57","0.95","0.57","39.878","24.13","14.478","1.07","9.85","10.5","0.54","0","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-157125-2"
"MS-157147-2","MS","MS - Sendust","147","198","1.57","0.95","0.57","39.878","24.13","14.478","1.07","9.85","10.5","0.45",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-157147-2"
"MS-157160-2","MS","MS - Sendust","160","215","1.57","0.95","0.57","39.878","24.13","14.478","1.07","9.85","10.5","0.41",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-157160-2"
"MS-159014-2","MS","MS - Sendust","14","29","1.594","0.689","0.531","40.4876","17.5006","13.4874","1.521","9.11","13.9","6.6",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-159014-2"
"MS-159026-2","MS","MS - Sendust","26","54","1.594","0.689","0.531","40.4876","17.5006","13.4874","1.521","9.11","13.9","3.1",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-159026-2"
"MS-159040-2","MS","MS - Sendust","40","83","1.594","0.689","0.531","40.4876","17.5006","13.4874","1.521","9.11","13.9","1.7",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-159040-2"
"MS-159060-2","MS","MS - Sendust","60","125","1.594","0.689","0.531","40.4876","17.5006","13.4874","1.521","9.11","13.9","1.4",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-159060-2"
"MS-159075-2","MS","MS - Sendust","75","157","1.594","0.689","0.531","40.4876","17.5006","13.4874","1.521","9.11","13.9","1.1",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-159075-2"
"MS-159090-2","MS","MS - Sendust","90","188","1.594","0.689","0.531","40.4876","17.5006","13.4874","1.521","9.11","13.9","0.88",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-159090-2"
"MS-159125-2","MS","MS - Sendust","125","262","1.594","0.689","0.531","40.4876","17.5006","13.4874","1.521","9.11","13.9","0.54",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-159125-2"
"MS-159147-2","MS","MS - Sendust","147","308","1.594","0.689","0.531","40.4876","17.5006","13.4874","1.521","9.11","13.9","0.45",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-159147-2"
"MS-159160-2","MS","MS - Sendust","160","335","1.594","0.689","0.531","40.4876","17.5006","13.4874","1.521","9.11","13.9","0.41",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-159160-2"
"MS-170014-2","MS","MS - Sendust","14","31.5","1.701","0.732","0.571","43.2054","18.5928","14.5034","1.74","9.71","16.9","6.6",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-170014-2"
"MS-170026-2","MS","MS - Sendust","26","58","1.701","0.732","0.571","43.2054","18.5928","14.5034","1.74","9.71","16.9","3.1",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-170026-2"
"MS-170040-2","MS","MS - Sendust","40","90","1.701","0.732","0.571","43.2054","18.5928","14.5034","1.74","9.71","16.9","1.7",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-170040-2"
"MS-170060-2","MS","MS - Sendust","60","135","1.701","0.732","0.571","43.2054","18.5928","14.5034","1.74","9.71","16.9","1.4",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-170060-2"
"MS-170075-2","MS","MS - Sendust","75","169","1.701","0.732","0.571","43.2054","18.5928","14.5034","1.74","9.71","16.9","1.1",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-170075-2"
"MS-170090-2","MS","MS - Sendust","90","203","1.701","0.732","0.571","43.2054","18.5928","14.5034","1.74","9.71","16.9","0.88",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-170090-2"
"MS-170125-2","MS","MS - Sendust","125","281","1.701","0.732","0.571","43.2054","18.5928","14.5034","1.74","9.71","16.9","0.54",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-170125-2"
"MS-170147-2","MS","MS - Sendust","147","331","1.701","0.732","0.571","43.2054","18.5928","14.5034","1.74","9.71","16.9","0.45",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-170147-2"
"MS-170160-2","MS","MS - Sendust","160","360","1.701","0.732","0.571","43.2054","18.5928","14.5034","1.74","9.71","16.9","0.41",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-170160-2"
"MS-171014-2","MS","MS - Sendust","14","21","1.709","1.039","0.638","43.4086","26.3906","16.2052","1.308","10.7","14","6.6",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-171014-2"
"MS-171026-2","MS","MS - Sendust","26","40","1.709","1.039","0.638","43.4086","26.3906","16.2052","1.308","10.7","14","3.1",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-171026-2"
"MS-171040-2","MS","MS - Sendust","40","61","1.709","1.039","0.638","43.4086","26.3906","16.2052","1.308","10.7","14","1.7",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-171040-2"
"MS-171060-2","MS","MS - Sendust","60","92","1.709","1.039","0.638","43.4086","26.3906","16.2052","1.308","10.7","14","1.4",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-171060-2"
"MS-171075-2","MS","MS - Sendust","75","115","1.709","1.039","0.638","43.4086","26.3906","16.2052","1.308","10.7","14","1.1",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-171075-2"
