matrix_id,case_id,topology_id,status,operating_point_input_checksum,hardware_snapshot_checksum,waveform_metrics_checksum
08_llc_full_bridge_diode,c01_nominal_full_load,llc_resonant_converter_diode_rectifier,executed,753fcef24feefdb45a19c6493bca776d5925da9a0d963c87f5cc85a6249ff2fd,a5efb0c786011cd0630ba6274bb780b439bbdd2a4d29afc10dabc8f4c5fcd09c,4b6176d080e5a9db2fc134fd52ec213ce4d97b01bcee06dbfeaba3dde3a33ae0
08_llc_full_bridge_diode,c02_low_input_full_load,llc_resonant_converter_diode_rectifier,executed,b65ac69a23ab4f84f5acbf9382e5e18c9d2492c5e4016e1ee76941ae4defd2ac,a5efb0c786011cd0630ba6274bb780b439bbdd2a4d29afc10dabc8f4c5fcd09c,6d88c54cd33e119cfc59d522527e2aaaac2763c2983bcf8f2688c7c69788a184
08_llc_full_bridge_diode,c03_high_input_full_load,llc_resonant_converter_diode_rectifier,executed,99e11976d6d3582c57212c81577084ed7c1a291dde68c9dc089ac123134efd57,a5efb0c786011cd0630ba6274bb780b439bbdd2a4d29afc10dabc8f4c5fcd09c,a3be9be29507f09fcccdf2998c98c7974ff8d0890d305c1538998decdb7162ea
08_llc_full_bridge_diode,c04_nominal_light_load_20pct,llc_resonant_converter_diode_rectifier,executed,d05374d1e514db325a755e779dbbc9a189fc39345c53fc73faffbfdbeac324ea,a5efb0c786011cd0630ba6274bb780b439bbdd2a4d29afc10dabc8f4c5fcd09c,83ea84f9c840d5531327c8808a3f3a2fc9b86a3b54def09c7635d990beff5ed3
08_llc_full_bridge_diode,c05_nominal_very_light_load_10pct,llc_resonant_converter_diode_rectifier,executed,6510c2b9af340e3874f9f6d590b67b9a34fcfe49fe29c98b7da65a414189b4e1,a5efb0c786011cd0630ba6274bb780b439bbdd2a4d29afc10dabc8f4c5fcd09c,65e83b6c06233703bf2350a39893b8a31a419b123e255029081ad762499a0d41
08_llc_full_bridge_diode,c06_nominal_high_frequency,llc_resonant_converter_diode_rectifier,executed,d44896512e0064cbc4c8585b4b8f88fce9d305f3f1dc22934db7e90d96acafa6,a5efb0c786011cd0630ba6274bb780b439bbdd2a4d29afc10dabc8f4c5fcd09c,a896e53429b7597ad412241c780b1a7feaa2d5dd4de52a4bf41fb1279b416335
08_llc_full_bridge_diode,c07_nominal_relaxed_ripple,llc_resonant_converter_diode_rectifier,executed,99c48f0a41a12991f3c54717839c94c6ef6c2e7e6e6fffe244d3eda67119f628,a5efb0c786011cd0630ba6274bb780b439bbdd2a4d29afc10dabc8f4c5fcd09c,4b6176d080e5a9db2fc134fd52ec213ce4d97b01bcee06dbfeaba3dde3a33ae0
09_llc_half_bridge_diode,c01_nominal_full_load,llc_resonant_converter_diode_rectifier,executed,753fcef24feefdb45a19c6493bca776d5925da9a0d963c87f5cc85a6249ff2fd,14f658dd70d97e4b5239af39bc1d99b490a690e48f9e0616067cdfede7485976,1c367cff585107b9900d014d4bb8b85dabcc95f3141a9887f504c407f2490c76
09_llc_half_bridge_diode,c02_low_input_full_load,llc_resonant_converter_diode_rectifier,executed,b65ac69a23ab4f84f5acbf9382e5e18c9d2492c5e4016e1ee76941ae4defd2ac,14f658dd70d97e4b5239af39bc1d99b490a690e48f9e0616067cdfede7485976,470a5dbb912194068387440408c009eb84c1bcf38ba88e1a3075f0d0876d46de
09_llc_half_bridge_diode,c03_high_input_full_load,llc_resonant_converter_diode_rectifier,executed,99e11976d6d3582c57212c81577084ed7c1a291dde68c9dc089ac123134efd57,14f658dd70d97e4b5239af39bc1d99b490a690e48f9e0616067cdfede7485976,e3cd3f8a6f68573a0ae68292423b4d92afd97f5582107d8bba9e30e05786d56c
