series_key,series,package_family,source_brand,pdf_filename,page_start,page_end,parser_type,dimension_source,esr_source,has_standard_table,has_dimensions,has_ripple_current,has_tan_delta,has_direct_esr,has_part_number,has_loss_basis,estimated_parseable_rows,order_code_policy,geometry_status,loss_model_status,registration_scope,blocked_reason
LLE_radial,LLE,radial,Rubycon,aluminum-catalog.pdf,59,60,tandelta_table,case_size_dxL_table,tandelta_derived,true,true,true,true,false,true,true,50,catalog_part_number_rule,geometry_ready,loss_ready,audit_ready,
RX30_radial,RX30,radial,Rubycon,aluminum-catalog.pdf,61,62,tandelta_table,case_size_dxL_table,tandelta_derived,true,true,true,true,false,true,true,84,catalog_part_number_rule,geometry_ready,loss_ready,audit_ready,
RXA_radial,RXA,radial,Rubycon,aluminum-catalog.pdf,63,64,direct_esr_table,case_size_dxL_table,direct_esr,true,true,true,true,true,true,true,72,catalog_part_number_rule,geometry_ready,loss_ready,audit_ready,
RXF_radial,RXF,radial,Rubycon,aluminum-catalog.pdf,65,66,direct_esr_table,case_size_dxL_table,direct_esr,true,true,true,true,true,true,true,56,catalog_part_number_rule,geometry_ready,loss_ready,audit_ready,
RXG_radial,RXG,radial,Rubycon,aluminum-catalog.pdf,67,68,direct_esr_table,case_size_dxL_table,direct_esr,true,true,true,true,true,true,true,18,catalog_part_number_rule,geometry_ready,loss_ready,audit_ready,
RXL_radial,RXL,radial,Rubycon,aluminum-catalog.pdf,69,70,direct_esr_table,case_size_dxL_table,direct_esr,true,true,true,true,true,true,true,30,catalog_part_number_rule,geometry_ready,loss_ready,audit_ready,
YXJ_radial,YXJ,radial,Rubycon,aluminum-catalog.pdf,71,72,tandelta_table,case_size_dxL_table,tandelta_derived,true,true,true,true,false,true,true,84,catalog_part_number_rule,geometry_ready,loss_ready,audit_ready,
YXM_radial,YXM,radial,Rubycon,aluminum-catalog.pdf,73,74,tandelta_table,case_size_dxL_table,tandelta_derived,true,true,true,true,false,true,true,31,catalog_part_number_rule,geometry_ready,loss_ready,audit_ready,
YXS_radial,YXS,radial,Rubycon,aluminum-catalog.pdf,75,77,tandelta_table,case_size_dxL_table,tandelta_derived,true,true,true,true,false,true,true,173,catalog_part_number_rule,geometry_ready,loss_ready,audit_ready,
ZLH_radial,ZLH,radial,Rubycon,aluminum-catalog.pdf,78,80,tandelta_table,case_size_dxL_table,tandelta_derived,true,true,true,true,false,true,true,165,catalog_part_number_rule,geometry_ready,loss_ready,audit_ready,
ZLJ_radial,ZLJ,radial,Rubycon,aluminum-catalog.pdf,81,84,tandelta_table,case_size_dxL_table,tandelta_derived,true,true,true,true,false,true,true,278,catalog_part_number_rule,geometry_ready,loss_ready,audit_ready,
ZLQ_radial,ZLQ,radial,Rubycon,aluminum-catalog.pdf,85,86,tandelta_table,case_size_dxL_table,tandelta_derived,true,true,true,true,false,true,true,75,catalog_part_number_rule,geometry_ready,loss_ready,audit_ready,
ZLS_radial,ZLS,radial,Rubycon,aluminum-catalog.pdf,87,88,tandelta_table,case_size_dxL_table,tandelta_derived,true,true,true,true,false,true,true,46,catalog_part_number_rule,geometry_ready,loss_ready,audit_ready,
BXW_radial,BXW,radial,Rubycon,aluminum-catalog.pdf,89,92,tandelta_table,case_size_dxL_table,tandelta_derived,true,true,true,true,false,true,true,320,catalog_part_number_rule,geometry_ready,loss_ready,audit_ready,
BHW_radial,BHW,radial,Rubycon,aluminum-catalog.pdf,93,94,tandelta_table,case_size_dxL_table,tandelta_derived,true,true,true,true,false,true,true,39,catalog_part_number_rule,geometry_ready,loss_ready,audit_ready,
CXW_radial,CXW,radial,Rubycon,aluminum-catalog.pdf,95,97,tandelta_table,case_size_dxL_table,tandelta_derived,true,true,true,true,false,true,true,132,catalog_part_number_rule,geometry_ready,loss_ready,audit_ready,
EXW_radial,EXW,radial,Rubycon,aluminum-catalog.pdf,98,100,tandelta_table,case_size_dxL_table,tandelta_derived,true,true,true,true,false,true,true,140,catalog_part_number_rule,geometry_ready,loss_ready,audit_ready,
HXW_radial,HXW,radial,Rubycon,aluminum-catalog.pdf,101,103,tandelta_table,case_size_dxL_table,tandelta_derived,true,true,true,true,false,true,true,133,catalog_part_number_rule,geometry_ready,loss_ready,audit_ready,
LXW_radial,LXW,radial,Rubycon,aluminum-catalog.pdf,104,106,tandelta_table,case_size_dxL_table,tandelta_derived,true,true,true,true,false,true,true,133,catalog_part_number_rule,geometry_ready,loss_ready,audit_ready,
QXW_radial,QXW,radial,Rubycon,aluminum-catalog.pdf,107,108,tandelta_table,case_size_dxL_table,tandelta_derived,true,true,true,true,false,true,true,86,catalog_part_number_rule,geometry_ready,loss_ready,audit_ready,
TXW_radial,TXW,radial,Rubycon,aluminum-catalog.pdf,109,110,tandelta_table,case_size_dxL_table,tandelta_derived,true,true,true,true,false,true,true,65,catalog_part_number_rule,geometry_ready,loss_ready,audit_ready,
SBW_snap_in,SBW,snap_in,Rubycon,aluminum-catalog.pdf,111,111,tandelta_table,case_size_dxL_table,tandelta_derived,true,true,true,true,false,true,true,16,catalog_part_number_rule,geometry_ready,loss_ready,audit_ready,
HXG_snap_in,HXG,snap_in,Rubycon,aluminum-catalog.pdf,112,114,tandelta_table,case_size_dxL_table,tandelta_derived,true,true,true,true,false,true,true,165,catalog_part_number_rule,geometry_ready,loss_ready,audit_ready,
HXH_snap_in,HXH,snap_in,Rubycon,aluminum-catalog.pdf,115,117,tandelta_table,case_size_dxL_table,tandelta_derived,true,true,true,true,false,true,true,107,catalog_part_number_rule,geometry_ready,loss_ready,audit_ready,
HXK_snap_in,HXK,snap_in,Rubycon,aluminum-catalog.pdf,118,120,tandelta_table,case_size_dxL_table,tandelta_derived,true,true,true,true,false,true,true,105,catalog_part_number_rule,geometry_ready,loss_ready,audit_ready,
MXG_snap_in,MXG,snap_in,Rubycon,aluminum-catalog.pdf,121,124,tandelta_table,case_size_dxL_table,tandelta_derived,true,true,true,true,false,true,true,634,catalog_part_number_rule,geometry_ready,loss_ready,audit_ready,
MXH_snap_in,MXH,snap_in,Rubycon,aluminum-catalog.pdf,125,127,tandelta_table,case_size_dxL_table,tandelta_derived,true,true,true,true,false,true,true,196,catalog_part_number_rule,geometry_ready,loss_ready,audit_ready,
MXK_snap_in,MXK,snap_in,Rubycon,aluminum-catalog.pdf,128,131,tandelta_table,case_size_dxL_table,tandelta_derived,true,true,true,true,false,true,true,544,catalog_part_number_rule,geometry_ready,loss_ready,audit_ready,
MXT_snap_in,MXT,snap_in,Rubycon,aluminum-catalog.pdf,132,133,tandelta_table,case_size_dxL_table,tandelta_derived,true,true,true,true,false,true,true,105,catalog_part_number_rule,geometry_ready,loss_ready,audit_ready,
NXH_snap_in,NXH,snap_in,Rubycon,aluminum-catalog.pdf,134,135,tandelta_table,case_size_dxL_table,tandelta_derived,true,true,true,true,false,true,true,112,catalog_part_number_rule,geometry_ready,loss_ready,audit_ready,
NXK_snap_in,NXK,snap_in,Rubycon,aluminum-catalog.pdf,136,137,tandelta_table,case_size_dxL_table,tandelta_derived,true,true,true,true,false,true,true,106,catalog_part_number_rule,geometry_ready,loss_ready,audit_ready,
THH_snap_in,THH,snap_in,Rubycon,aluminum-catalog.pdf,138,139,tandelta_table,case_size_dxL_table,tandelta_derived,true,true,true,true,false,true,true,77,catalog_part_number_rule,geometry_ready,loss_ready,audit_ready,
THK_snap_in,THK,snap_in,Rubycon,aluminum-catalog.pdf,140,141,tandelta_table,case_size_dxL_table,tandelta_derived,true,true,true,true,false,true,true,85,catalog_part_number_rule,geometry_ready,loss_ready,audit_ready,
USG_large_can_snap_in,USG,large_can_snap_in,Rubycon,aluminum-catalog.pdf,142,145,tandelta_table,case_size_dxL_table,tandelta_derived,true,true,true,true,false,true,true,446,catalog_part_number_rule,geometry_ready,loss_ready,audit_ready,
USK_large_can_snap_in,USK,large_can_snap_in,Rubycon,aluminum-catalog.pdf,146,149,tandelta_table,case_size_dxL_table,tandelta_derived,true,true,true,true,false,true,true,492,catalog_part_number_rule,geometry_ready,loss_ready,audit_ready,
VXH_large_can_snap_in,VXH,large_can_snap_in,Rubycon,aluminum-catalog.pdf,150,152,tandelta_table,case_size_dxL_table,tandelta_derived,true,true,true,true,false,true,true,308,catalog_part_number_rule,geometry_ready,loss_ready,audit_ready,
VXK_large_can_snap_in,VXK,large_can_snap_in,Rubycon,aluminum-catalog.pdf,153,155,tandelta_table,case_size_dxL_table,tandelta_derived,true,true,true,true,false,true,true,171,catalog_part_number_rule,geometry_ready,loss_ready,audit_ready,
VXT_large_can_snap_in,VXT,large_can_snap_in,Rubycon,aluminum-catalog.pdf,156,157,tandelta_table,case_size_dxL_table,tandelta_derived,true,true,true,true,false,true,true,141,catalog_part_number_rule,geometry_ready,loss_ready,audit_ready,
